Cp,D,Rs,X0,  0.9463E-12,-0.63328,-76.0235E+06,-120.047E+06
0,  0.9468E-12,-0.62614,-75.6079E+06,-120.753E+06
0,  0.9550E-12,-0.55876,-70.9635E+06,-127.003E+06
0,  0.9502E-12,-0.58030,-72.7097E+06,-125.297E+06
0,  0.9353E-12,-0.63167,-76.8285E+06,-121.628E+06
0,  0.9448E-12,-0.61478,-75.1577E+06,-122.251E+06
0,  0.9598E-12,-0.56371,-70.9355E+06,-125.837E+06
0,  0.9491E-12,-0.57618,-72.5416E+06,-125.902E+06
0,  0.9389E-12,-0.62632,-76.2577E+06,-121.756E+06
0,  0.9421E-12,-0.63212,-76.2977E+06,-120.701E+06
0,  0.9491E-12,-0.56057,-71.5279E+06,-127.598E+06
0,  0.9549E-12,-0.58170,-72.4407E+06,-124.532E+06
0,  0.9469E-12,-0.60732,-74.5702E+06,-122.785E+06
0,  0.9492E-12,-0.64789,-76.5172E+06,-118.102E+06
0,  0.9628E-12,-0.56589,-70.8532E+06,-125.207E+06
0,  0.9549E-12,-0.56788,-71.5667E+06,-126.025E+06
0,  0.9320E-12,-0.63715,-77.3891E+06,-121.461E+06
0,  0.9384E-12,-0.63074,-76.5278E+06,-121.330E+06
0,  0.9489E-12,-0.56259,-71.6723E+06,-127.398E+06
0,  0.9372E-12,-0.61649,-75.8566E+06,-123.046E+06
0,  0.9314E-12,-0.65458,-78.2999E+06,-119.619E+06
0,  0.9541E-12,-0.58410,-72.6480E+06,-124.376E+06
0,  0.9476E-12,-0.57510,-72.5860E+06,-126.214E+06
0,  0.9502E-12,-0.56889,-71.9904E+06,-126.546E+06
0,  0.9271E-12,-0.64263,-78.0793E+06,-121.500E+06
0,  0.9409E-12,-0.60985,-75.1888E+06,-123.291E+06
0,  0.9608E-12,-0.57140,-71.3534E+06,-124.874E+06
0,  0.9486E-12,-0.57169,-72.2886E+06,-126.448E+06
0,  0.9339E-12,-0.61102,-75.8191E+06,-124.086E+06
0,  0.9394E-12,-0.62999,-76.4067E+06,-121.281E+06
0,  0.9480E-12,-0.58477,-73.1556E+06,-125.102E+06
0,  0.9537E-12,-0.55751,-70.9742E+06,-127.306E+06
0,  0.9324E-12,-0.64221,-77.6075E+06,-120.845E+06
0,  0.9413E-12,-0.61618,-75.5147E+06,-122.553E+06
0,  0.9560E-12,-0.56369,-71.2174E+06,-126.341E+06
